;retornos;var;es;market
18-05-2020;-0.004289294;0.062260596;0.063895303;D1
19-05-2020;0.005459236;0.061384392;0.062990419;D1
20-05-2020;-0.005507624;0.058182971;0.059686438;D1
21-05-2020;0.003902602;0.058354525;0.059863337;D1
22-05-2020;-0.006525425;0.052073018;0.05338725;D1
26-05-2020;0.021029214;0.060275953;0.06184595;D1
27-05-2020;-0.005951471;0.061293333;0.062896083;D1
28-05-2020;-0.004737313;0.05615678;0.057596422;D1
29-05-2020;0.005446516;0.061636066;0.063249892;D1
01-06-2020;-0.010917139;0.063340622;0.06501;D1
02-06-2020;-0.008324037;0.052211785;0.053530154;D1
03-06-2020;0.001005551;0.057019694;0.058486347;D1
04-06-2020;0.0083885;0.059211688;0.060748001;D1
05-06-2020;-0.022791121;0.051460292;0.05275617;D1
08-06-2020;-0.008237959;0.050266071;0.051526035;D1
09-06-2020;-0.033462953;0.052306351;0.053627709;D1
10-06-2020;-0.013725062;0.04736126;0.048535363;D1
11-06-2020;0.036879512;0.048825801;0.050042901;D1
12-06-2020;0.019955895;0.056564154;0.05801658;D1
15-06-2020;-0.028583439;0.058848987;0.06037341;D1
16-06-2020;-0.002816851;0.057819044;0.059310835;D1
17-06-2020;0.013951724;0.059739131;0.061291945;D1
18-06-2020;0.00034007;0.065145741;0.066874693;D1
19-06-2020;0.016064867;0.06218661;0.063818322;D1
22-06-2020;-0.018425922;0.062489752;0.064131325;D1
23-06-2020;-0.006425237;0.058482102;0.059994842;D1
24-06-2020;0.015313947;0.062661074;0.064308225;D1
25-06-2020;-0.009792308;0.056955221;0.058419818;D1
26-06-2020;0.03250264;0.054888262;0.056288521;D1
29-06-2020;-0.020296877;0.063461528;0.065134867;D1
30-06-2020;-0.010725401;0.059311516;0.060850617;D1
01-07-2020;0.006333941;0.056433521;0.057881787;D1
02-07-2020;0.012789661;0.060784778;0.062371092;D1
06-07-2020;-0.009831265;0.054858463;0.056257799;D1
07-07-2020;0.006217758;0.052670706;0.054003064;D1
08-07-2020;-0.007408744;0.052152683;0.053469295;D1
09-07-2020;0.005439415;0.056801982;0.058261795;D1
10-07-2020;-0.001060928;0.050171296;0.051428317;D1
13-07-2020;0.023215862;0.056187631;0.057628229;D1
14-07-2020;-0.024018889;0.056469477;0.057918871;D1
15-07-2020;0.014663976;0.056640958;0.058095711;D1
16-07-2020;0.000623082;0.057453181;0.058933419;D1
17-07-2020;0.010263663;0.060232912;0.061801485;D1
20-07-2020;-0.016892368;0.051455591;0.05275111;D1
21-07-2020;0.023880392;0.057317302;0.058793265;D1
