;x
05-05-2022;-0.042204759
06-05-2022;0.007177267
09-05-2022;-0.014285039
10-05-2022;-0.011148603
11-05-2022;-0.045763531
12-05-2022;-0.001115993
13-05-2022;0.014742735
16-05-2022;0.000249213
17-05-2022;-0.00156337
18-05-2022;-0.040658775
19-05-2022;-0.021559501
20-05-2022;-0.012333018
23-05-2022;0.033994546
24-05-2022;-0.003133997
25-05-2022;0.014992654
26-05-2022;0.045220547
27-05-2022;0.028823756
31-05-2022;-0.001408923
01-06-2022;-0.005977211
02-06-2022;0.023213604
03-06-2022;-0.010369915
06-06-2022;-0.004121097
07-06-2022;0.02770732
08-06-2022;-0.004075175
09-06-2022;-0.02959922
10-06-2022;-0.021989213
13-06-2022;-0.005528451
14-06-2022;0.000190399
15-06-2022;0.008863716
16-06-2022;-0.010250568
17-06-2022;0.010302895
21-06-2022;0.017164102
22-06-2022;0.005584724
23-06-2022;0.010428065
24-06-2022;0.014099092
27-06-2022;-0.006396118
28-06-2022;-0.029988544
29-06-2022;0.013666621
30-06-2022;-0.002136256
01-07-2022;0.019853916
05-07-2022;0.02664608
06-07-2022;0.009452005
07-07-2022;0.020743136
08-07-2022;0.012907346
11-07-2022;-0.004090925
12-07-2022;0.001120161
13-07-2022;0.01738263
14-07-2022;0.030844189
15-07-2022;0.001870678
18-07-2022;-0.023440832
19-07-2022;0.021506325
20-07-2022;0.012761915
21-07-2022;0.004087681
22-07-2022;-0.005204755
25-07-2022;-0.007521602
26-07-2022;-0.002927961
27-07-2022;0.026137793
28-07-2022;0.001169865
29-07-2022;0.007604778
01-08-2022;0.000673368
02-08-2022;-0.001652452
03-08-2022;0.032185907
04-08-2022;-0.002112854
05-08-2022;0.0129217
08-08-2022;-0.009537769
09-08-2022;0.005232104
10-08-2022;0.009945721
11-08-2022;-0.008919681
12-08-2022;0.01207616
15-08-2022;0.009517616
16-08-2022;0.002458407
17-08-2022;0.009843096
18-08-2022;0.001901043
19-08-2022;-0.01151274
22-08-2022;-0.011513176
23-08-2022;3.61E-05
24-08-2022;0.002899889
25-08-2022;0.007467253
26-08-2022;-0.042177612
29-08-2022;0.001732429
30-08-2022;-0.021290793
31-08-2022;-0.018679617
01-09-2022;0.006370963
02-09-2022;-0.025311649
06-09-2022;-0.014085092
07-09-2022;0.007597023
08-09-2022;-3.85E-05
09-09-2022;0.010361664
12-09-2022;0.024326789
13-09-2022;-0.038400273
14-09-2022;0.001623983
15-09-2022;-0.014720125
16-09-2022;-0.004661627
19-09-2022;0.035796559
20-09-2022;0.024728909
21-09-2022;-0.02261651
22-09-2022;0.005877086
23-09-2022;-0.000350959
26-09-2022;0.006294569
27-09-2022;-0.005770641
28-09-2022;0.013345403
29-09-2022;-0.022862735
30-09-2022;-0.021875778
03-10-2022;0.029289583
04-10-2022;0.008346467
05-10-2022;0.015941375
06-10-2022;-0.001647024
07-10-2022;-0.017870181
10-10-2022;0.000216175
11-10-2022;-0.008555597
12-10-2022;-0.00572623
13-10-2022;0.05548912
14-10-2022;-0.040742047
17-10-2022;0.009029103
18-10-2022;-0.010575345
19-10-2022;0.016332545
20-10-2022;0.00234389
21-10-2022;0.02800449
24-10-2022;0.015833167
25-10-2022;0.014078104
26-10-2022;-0.008184152
27-10-2022;-0.019450536
28-10-2022;0.050688777
31-10-2022;0.00492099
01-11-2022;-0.026933078
02-11-2022;-0.025446503
03-11-2022;-0.021466427
04-11-2022;-0.026225348
07-11-2022;0.013153417
08-11-2022;-0.006182867
09-11-2022;-0.024225937
10-11-2022;0.037749401
11-11-2022;0.027032095
14-11-2022;-0.004179557
15-11-2022;-0.01132224
16-11-2022;-0.0018487
17-11-2022;0.0292994
18-11-2022;-0.007893982
21-11-2022;-0.014218848
22-11-2022;0.01450751
23-11-2022;0.010847267
28-11-2022;-0.005048685
29-11-2022;-0.020384389
30-11-2022;0.048294
01-12-2022;-0.001114103
02-12-2022;0.01351654
05-12-2022;-0.006684396
06-12-2022;-0.027450965
07-12-2022;-0.007549171
08-12-2022;0.001301641
09-12-2022;-0.001986167
12-12-2022;0.010788025
13-12-2022;-0.026198178
14-12-2022;-0.014133782
15-12-2022;-0.034839006
