dts,jumps_1,jumps_2,jumps_3,jumps_4,jumps_5
16/06/2003,0,0,0,4.22160720724622e-05,-0
17/06/2003,0.000176452996087191,0,0,0,6.22994335912592e-05
18/06/2003,0,-0,0,0,-0
19/06/2003,0.000317041529515945,0,0.000169777503540032,1.87258218904785e-05,0
20/06/2003,0,0,0,0,0
23/06/2003,0,0,0,2.3003206463854e-05,0
24/06/2003,-0,-0,0,0,0
25/06/2003,0,0,-0,0,0
26/06/2003,0.000122911100112392,0,8.61743139520802e-05,0,0.000338533465367549
27/06/2003,0,0,0,0,0
30/06/2003,0.000196281641255461,7.05470207733586e-05,0.000256053057022074,4.4262943481762e-05,0
01/07/2003,0,-0,0,0,0.000124664309898491
02/07/2003,0,0,0,0,0
07/07/2003,0,0,0,0,6.10839200234828e-05
08/07/2003,0,0.000308829225894193,0.000136720586488569,0,3.60101501921975e-05
09/07/2003,0,0,0.000183787516137324,2.67284986042933e-05,0
10/07/2003,-0,0,0,0,0
11/07/2003,0,0.000217906512792144,0,0,0
14/07/2003,0,0,-0,0,8.19279795335065e-05
15/07/2003,-0,0.000172139438252342,0,-0,9.17323401885918e-05
16/07/2003,0.00029426184277378,0.000309142606687616,0,0,-0
17/07/2003,0,0,-0,0,0
18/07/2003,-0,-0,0,-0,-0
21/07/2003,0,0.000251243440781619,0,0,0
22/07/2003,0,-0,0,0,0
23/07/2003,0,0,0.000187947178982716,0,-0
24/07/2003,0,-0,0,0,0
25/07/2003,0.000297403244529777,0,0.000455762107135583,-0,0
28/07/2003,0.000128022392108811,0,-0,0,0
29/07/2003,0.000347205792865457,0,0,3.17673343199861e-05,0.00014382610961986
30/07/2003,5.13904895486316e-05,0,0,0,4.7129342082617e-05
31/07/2003,0,0,-0,0,0
01/08/2003,0,0,0,3.06136462541673e-05,0
04/08/2003,0,0,0,0,0
05/08/2003,0.000346820833968783,0,-0,0,0
06/08/2003,0,0,0,0,0
07/08/2003,0,-0,-0,-0,0
08/08/2003,0,0,0,-0,0
11/08/2003,0,-0,0,0,0
12/08/2003,-0,0.000342043573855829,0,0,0
13/08/2003,0,0,-0,0,0
14/08/2003,0.000102254819107805,0,0,0,0
15/08/2003,6.6888113255535e-05,-0,3.04702691906769e-05,0,0
18/08/2003,0,-0,0,2.18052380744292e-05,0
19/08/2003,0.000116603104144285,0,-0,-0,0
20/08/2003,0.000301051936528098,5.48602792834273e-05,0,0,-0
21/08/2003,0.000160558603357094,0,0,0,0
22/08/2003,0,0.000185339160248807,7.7681633613101e-05,0,0
25/08/2003,9.09545201408663e-05,0,0,-0,0
26/08/2003,0.00016283757976571,0.000588388069406366,0,0,5.57309413718507e-05
27/08/2003,0,-0,2.99703714533132e-05,0,-0
28/08/2003,0,0,0,0,-0
29/08/2003,0,0,0,-0,0
02/09/2003,0,0,0,0,0
03/09/2003,0,0,-0,0,0.000498778575498717
04/09/2003,0,0,4.18752121959489e-05,-0,-0
05/09/2003,0,6.03258512715149e-05,-0,0,0
08/09/2003,0,0,0,-0,0
09/09/2003,0.000153585230966196,0,0,0,-0
10/09/2003,0,0,0,0,0
11/09/2003,0,0,-0,-0,-0
